period,mood,circumplex.arousal,circumplex.valence,activity,screen,call,sms,appCat.builtin,appCat.communication,appCat.entertainment,appCat.finance,appCat.game,appCat.office,appCat.other,appCat.social,appCat.travel,appCat.unknown,appCat.weather,appCat.utilities,id
1,6.6,0.35000000000000003,0.4166666666666667,0.13205248820176513,83841.4070010185,19.0,2.0,8224.114,45017.26,3150.782,243.514,0.0,175.216,753.5920000000001,15584.127,1372.555,235.223,30.386,1181.451,AS14.01
2,7.0,0.35000000000000003,0.5166666666666667,0.1362959110317166,83304.65000033376,15.0,3.0,6314.223,45672.882000000005,2782.665,236.18900000000002,0.0,185.46099999999998,572.373,12011.008,504.42400000000004,235.223,30.386,761.726,AS14.01
3,6.4,0.15,0.5499999999999999,0.11276554476457694,82085.97800040242,17.0,2.0,15645.389,41576.797,3694.744,304.279,233.036,185.46099999999998,700.181,12084.117,1600.1280000000002,235.223,30.386,945.822,AS14.01
4,8.0,0.15000000000000002,0.5833333333333334,0.1003424938140446,83634.76799869534,21.0,3.0,16311.773000000001,39060.17,5227.827,260.876,233.036,185.46099999999998,796.952,11656.166000000001,1652.563,235.223,0.0,1516.373,AS14.01
5,7.5,-0.06666666666666667,0.7083333333333334,0.09536447954836862,73110.63099908827,11.0,3.0,15859.182,31088.046000000002,5786.533,226.77,233.036,182.451,804.397,8600.225,1232.758,301.70000000000005,0.0,1375.937,AS14.01
6,7.4,-0.15,0.725,0.09071970763051575,63472.11000037193,17.0,2.0,17787.819,26143.932,7477.247,224.971,284.212,182.451,894.132,8031.409,1416.1390000000001,95.767,0.0,1363.349,AS14.01
7,6.0,-0.08333333333333333,0.625,0.09357552780429244,64222.21500205994,18.0,2.0,18005.839,23250.705,7597.405,720.466,518.953,274.839,917.824,8479.417,3030.76,95.767,0.0,1847.62,AS14.01
8,6.5,-0.075,0.5750000000000001,0.08397652274914676,68138.57600259781,20.0,1.0,20390.861,23234.349,8301.442,926.0240000000001,518.953,182.869,1400.8329999999999,10972.828,2983.446,95.767,0.0,2009.962,AS14.01
9,6.4,-0.17499999999999996,0.47500000000000003,0.07623326459436691,84616.92200374603,19.0,1.0,12649.73,36805.598,8589.67,913.092,285.91700000000003,182.869,1388.7839999999999,13614.328,1869.5190000000002,95.767,0.0,1891.0169999999998,AS14.01
10,6.2,-0.17500000000000002,0.375,0.0859810147786096,88673.7110040188,17.0,1.0,12654.929,39566.534,8507.468,913.092,285.91700000000003,182.869,1395.991,15227.637,1975.3250000000003,95.767,0.0,1419.072,AS14.01
11,6.8,-0.15833333333333333,0.35000000000000003,0.09763257005892685,87490.92800307274,17.0,1.0,27399.754,40153.438,7048.16,913.092,285.91700000000003,182.869,1403.1209999999999,15423.16,2163.27,29.29,0.0,1499.732,AS14.01
12,6.5,-0.2833333333333333,0.3333333333333333,0.0966162898187733,83121.41600251199,15.0,1.0,28987.011000000002,38176.544,5476.454,871.837,349.14700000000005,182.869,1253.687,14393.965,1979.8890000000001,0.0,0.0,1335.676,AS14.01
13,6.5,-0.39999999999999997,0.375,0.08532085289570361,75793.89100027084,15.0,1.0,28528.871000000003,39436.032999999996,4892.938,370.139,114.406,107.588,1302.8449999999998,10829.316,425.515,0.0,0.0,1023.851,AS14.01
14,6.6,-0.5083333333333333,0.325,0.08088926083289111,69536.51200222969,12.0,1.0,25807.211000000003,41993.43,7016.041,141.493,114.406,17.107,970.818,10055.645,425.515,0.0,0.0,718.623,AS14.01
15,7.4,-0.44166666666666665,0.4583333333333333,0.09274686780353907,61692.9660024643,12.0,1.0,25124.364,33732.424,6663.18,65.259,114.406,17.107,1103.57,9727.754,406.433,0.0,0.0,1113.21,AS14.01
16,7.4,-0.5416666666666666,0.525,0.08479250013479993,58609.654001712806,17.0,0.0,23881.890000000003,33132.207,6976.846,65.259,115.465,40.302,1034.688,8816.274000000001,248.192,0.0,0.0,1362.205,AS14.01
17,7.0,-0.6749999999999999,0.5583333333333333,0.07828981677973575,65796.06900191307,17.0,0.0,12091.731,34583.39,8876.615,159.352,115.465,40.302,1005.0070000000001,9049.873,94.481,0.0,0.0,1457.897,AS14.01
18,7.25,-0.6749999999999999,0.6,0.0795966937843774,70079.55600309372,13.0,0.0,7845.515,37822.729999999996,10875.883,159.352,1.059,40.302,964.9200000000001,8992.845,99.512,0.0,0.0,1764.04,AS14.01
