id,period,mood,circumplex.arousal,circumplex.valence,activity,screen,call,sms,appCat.builtin,appCat.communication,appCat.entertainment,appCat.finance,appCat.game,appCat.office,appCat.other,appCat.social,appCat.travel,appCat.unknown,appCat.weather,appCat.utilities
AS14.01,1,6.2,0.2,0.2,0.1340501039893886,17978.907000064843,6.0,0.0,3139.218,6280.89,1007.456,49.544,0.0,172.20600000000002,239.751,4508.5,915.445,0.0,0.0,598.754
AS14.02,1,7.5,0.041666666666666664,0.5333333333333333,0.24636748823337218,43273.80900287628,48.0,5.0,11833.752,19212.832,3492.4359999999997,0.0,0.0,0.0,830.864,1064.417,1009.461,0.0,0.0,0.0
AS14.03,1,9.0,1.0,2.0,,1664.9540009498598,5.0,2.0,168.055,1724.739,946.017,0.0,0.0,10.046,543.588,0.0,0.0,0.0,0.0,0.0
AS14.05,1,7.25,0.02291666666666667,0.79375,0.09978244286629667,46856.18599987031,20.0,6.0,3458.833,32177.914,6946.144,0.0,0.0,0.0,1171.078,1152.222,0.0,300.971,0.0,190.68099999999998
AS14.06,2,8.0,-0.2333333333333333,0.7000000000000001,0.10556771343868092,18130.556001424786,5.0,0.0,372.894,8265.911,6024.303,0.0,0.0,312.63,392.615,4310.682,564.176,0.0,0.0,0.0
AS14.07,1,7.0,-0.47222222222222227,0.7166666666666667,,40215.85800170898,0.0,3.0,4196.18,17313.837,3675.811,0.0,0.0,0.0,268.581,3887.17,310.561,255.16,0.0,31.218
AS14.08,1,6.6,-0.23823529411764705,0.7754901960784314,0.032706052119805255,16363.088999271393,1.0,53.0,6170.717,13054.105,246.85100000000003,0.0,0.0,17.086,659.198,11900.668,1277.345,180.247,0.0,110.802
AS14.09,1,7.0,0.0,1.0,,3007.8339989185324,3.0,1.0,29.307,1221.081,1447.456,0.0,0.0,2.113,216.908,0.0,0.0,0.0,0.0,2.02
AS14.12,3,6.4,0.13,0.6799999999999999,0.1018206925322741,33431.10500073433,18.0,0.0,13897.085,6213.7029999999995,5955.332,11.04,11.03,17.189,302.746,10984.161,873.517,60.299,0.0,42.458
AS14.13,1,6.4,-0.17777777777777778,0.7333333333333333,0.18608305421372845,60703.81699299814,1.0,8.0,7016.086,47565.669,6316.929,0.0,0.0,0.0,11825.591,4047.523,3145.569,141.978,0.0,12.518
