Attribute,Unique Values,Missing Values,Mean,Std,Min,25%,50%,75%,Max
activity,1868,335961,0.12,0.19,0.0,0.0,0.02,0.16,1.0
appCat.builtin,23237,267638,18.54,415.99,-82798.87,2.02,4.04,9.92,33960.25
appCat.communication,39890,284650,43.34,128.91,0.01,5.22,16.23,45.48,9830.78
appCat.entertainment,12575,331801,37.58,262.96,-0.01,1.33,3.39,14.92,32148.68
appCat.finance,729,357987,21.76,39.22,0.13,4.07,8.03,20.16,355.51
appCat.game,792,358113,128.39,327.15,1.0,14.15,43.17,123.62,5491.79
appCat.office,3178,353284,22.58,449.6,0.0,2.0,3.11,8.04,32708.82
appCat.other,5014,351276,25.81,112.78,0.01,7.02,10.03,16.83,3892.04
appCat.social,14660,339781,72.4,261.55,0.09,9.03,28.47,75.37,30000.91
appCat.travel,2606,356080,45.73,246.11,0.08,5.09,18.14,47.23,10452.62
appCat.unknown,846,357987,45.55,119.4,0.11,5.02,17.19,44.43,2239.94
appCat.utilities,1732,356439,18.54,60.96,0.25,3.16,8.03,19.33,1802.65
appCat.weather,250,358671,20.15,24.94,1.0,8.68,15.12,25.35,344.86
call,1,353687,1.0,0.0,1.0,1.0,1.0,1.0,1.0
circumplex.arousal,6,353298,-0.1,1.05,-3.0,-1.0,0.0,1.0,2.0
circumplex.valence,6,353298,0.67,0.67,-3.0,0.0,1.0,1.0,2.0
mood,16,353298,7.01,1.07,1.0,7.0,7.0,8.0,16.0
screen,64646,262348,75.34,253.82,0.04,5.32,20.04,62.54,9867.01
sms,1,357128,1.0,0.0,1.0,1.0,1.0,1.0,1.0
